places,latitude,longitude
"Avarampalayam,Coimbatore",11.029412,76.9854653
"Avinashi Road,Coimbatore",11.0069275,76.9772921
"ATT Colony,Coimbatore",11.01117101,76.97176571
"Govt Arts College Road,Coimbatore",10.9985141,76.97196935
"Avaram Palayam Road,Coimbatore",11.03908235,76.99024754
"Bharathi Colony,Coimbatore",11.02061665,76.94773675
"Big Bazaar Street,Coimbatore",10.9989009,76.9824028
"Bharathi Nagar,Coimbatore",11.0471906,76.9890493
"Bharathi Park Road,Coimbatore",11.0197073,76.9455882
"Bharathiyar Road,Coimbatore",11.0140255,76.9853681
"Cheran Ma Nagar,Coimbatore",11.0520411,76.945335
"Codissia,Coimbatore",11.0422285,77.02646315
"Chinnavedampatti,Coimbatore",11.0629428,76.9843304
"Damu Nagar,Coimbatore",11.00770938,76.99087673
"Dr Jaganathan Nagar,Coimbatore",11.0283413,77.02371662
"Eachanari Road,Coimbatore",10.9239252,76.98245042
"Edayar Street,Coimbatore",10.99815453,76.95535167
"Edayarpalayam,Coimbatore",11.04984,76.918862
"Ganapathy,Coimbatore",11.0365596,76.9692573
"GN Mills,Coimbatore",11.060303,76.9447575
"GV Residency Road,Coimbatore",11.0114936,77.01752163
"Gandhipuram,Coimbatore",11.0182714,76.9677744
"Goods Shed Road,Coimbatore",11.001092,76.9629634
"GKS Nagar,Coimbatore",11.0710767,76.99955282
"Gurusamy Nagar Road,Coimbatore",11.04200628,77.01920761
"Huzur Road,Coimbatore",11.0009219,76.9698764
"Jagannatha Nagar,Coimbatore",11.02645215,77.02357976
"Kamaraj Road,Coimbatore",11.005789,76.98655325
"Kavundampalayam,Coimbatore",11.0451312,76.9474498
"Kothari Layout,Coimbatore",10.99832716,77.00554974
"Krishna Colony,Coimbatore",10.9993504,77.009413
"Kurichi,Coimbatore",10.96615705,76.96360877
"Kalapatti,Coimbatore",11.0787684,77.0370419
"Koundampalayam,Coimbatore",11.04641652,76.94233937
"Krishnaswamy Nagar,Coimbatore",11.0012196,76.999158
"Kurumbapalayam,Coimbatore",11.1132597,77.0284746
"Kalappanaickenpalayam,Coimbatore",11.05709384,76.89814345
"Kovai Pudur,Coimbatore",10.9710579,76.8888297
"KK Pudur ,Coimbatore",10.9610718,76.8040293
"Kuniamuthur,Coimbatore",10.9664454,76.9565931
"Lakshmi Mills Junction,Coimbatore",11.0129267,76.9860456
"Lakshmi Nagar,Coimbatore",11.037899,76.91893207
"MTP Road,Coimbatore",11.2990523,76.9354703
"Madukkarai,Coimbatore",10.9006591,76.9424838
"Maruthamalai Road,Coimbatore",11.0179978,76.9211607
"Mettupalayam Road,Coimbatore",11.0302895,76.9510044
"Dr Nanjappa Road,Coimbatore",11.0102526,76.9672181
"Nehru Nagar,Coimbatore",10.6672609,77.0192687
"Dhamu Nagar,Coimbatore",11.08642082,76.92055508
"Navavoor Pirivu,Coimbatore",11.03406234,76.89313012
"NGGO Colony,Coimbatore",11.0997759,76.9599443
"Ondipudur,Coimbatore",11.0053032,77.0627627
"Pappanaicken Pudur,Coimbatore",11.023962,76.92566998
"Pappanaickenpalayam,Coimbatore",11.02063078,76.98474296
"Periasamy Road,Coimbatore",11.0127205,76.9465915
"Podanur,Coimbatore",10.9585609,76.988307
"P.N.Palayam,Coimbatore",11.0177028,76.9844792
"Palathurai Road,Coimbatore",10.91731121,76.96905374
"Pannimadai,Coimbatore",11.0856589,76.91641543
"Perur Main Road,Coimbatore",10.976406,76.9141784
"Puliakulam,Coimbatore",11.004464,76.9919988
"Peelamedu,Coimbatore",11.0269577,76.9945813
"Puliakulam Road,Coimbatore",11.004464,76.9919988
"RS Puram,Coimbatore",11.0080177,76.9501661
"Ramanathapuram,Coimbatore",10.9947773,76.99213
"Rathinapuri,Coimbatore",11.0262931,76.9622382
"GD Layout,Coimbatore",10.95039806,76.93994876
"Rajiv Gandhi Nagar,Coimbatore",11.00303189,77.01180341
"Ramasamy Nagar,Coimbatore",11.00006323,76.9921283
"Redfields,Coimbatore",10.9983509,76.9830066
"Ram Nagar,Coimbatore",11.0136544,76.9628953
"Race Course,Coimbatore",11.0049649,76.9858523
"Saibaba Colony,Coimbatore",11.024334,76.9447875
"Sakthi Nagar,Coimbatore",11.0474918,76.9930659
"Sanganur Pallam ,Coimbatore",11.0361432,76.9781237
"Saravanampatti,Coimbatore",11.0747296,77.0027116
"Sathy Road,Coimbatore",11.0188943,76.9698817
"Selvapuram,Coimbatore",10.9871756,76.9392029
"SIHS Colony,Coimbatore",11.026221,76.9556009
"Singanallur,Coimbatore",11.0028585,77.0234948
"Siruvani Main Road,Coimbatore",10.9372742,76.6843548
"SITRA,Coimbatore",11.036875,77.0362113
"Sivananda Colony,Coimbatore",11.0225166,76.95724
"Sowripalayam,Coimbatore",11.0097377,77.0073151
"Sri vignesh nagar,Coimbatore",11.05210835,77.01573646
"Sugar Cane Institute Road,Coimbatore",11.01031976,76.92432517
"Sundarapuram,Coimbatore",10.9521673,76.9758815
"Sungam,Coimbatore",10.99767105,76.98422754
"Swamy Iyer New Street,Coimbatore",10.99544329,76.94969089
"Vellalore Road,Coimbatore",10.9771983,77.0057346
"Tatabad,Coimbatore",11.0194943,76.9572601
"Thudiyalur,Coimbatore",11.0805532,76.9421498
"Teachers Colony,Coimbatore",11.0475315,77.0468161
"Telungu Palayam Road,Coimbatore",10.99040395,76.92707434
"Thondamuthur Road,Coimbatore",10.9772442,76.8577838
"Trichy Road,Coimbatore",11.0063349,77.0687261
"Thadagam Road,Coimbatore",11.0165283,76.9405326
"TVS Nagar,Coimbatore",11.0459955,76.9371303
"Ukkadam,Coimbatore",10.9895218,76.9561068
"Uppilipalayam,Coimbatore",11.011709,77.0213881
"Vedapatti Road,Coimbatore",11.01229186,76.8875181
"Velandipalayam,Coimbatore",11.0290235,76.932096
"VOC Nagar,Coimbatore",11.02912885,76.92503656
"Vadavalli,Coimbatore",11.0253387,76.9051251
"Vellakinar Road,Coimbatore",11.08028,76.9480591
"Vilankurichi Road,Coimbatore",11.0536712,76.9971072
"Vellalore,Coimbatore",10.9771983,77.0057346
"Vinayaka Street,Coimbatore",11.0027213,76.981296
"Varadharajapuram,Coimbatore",11.0148547,77.03020179
"VKK Menon Road,Coimbatore",11.01987992,76.9737546
"W Club Road,Coimbatore",10.998361,76.9740359
"Selvapuram North,Coimbatore",11.172385,76.9213345
"Singanallur ,Coimbatore",11.0028585,77.0234948
"Sowripalayam,Coimbatore",11.0097377,77.0073151
"Sukrawar Pettai,Coimbatore",11.00760161,76.95780309
